train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.77734375,0,49,,,,,,
0.80078125,0,99,,,,,,
0.84765625,0,149,,,,,,
,0,187,0.2758011817932129,0.9210833311080933,,,,
,0,187,,,1.5371410846710205,0.7748125195503235,,
0.88671875,1,199,,,,,,
0.87890625,1,249,,,,,,
0.89453125,1,299,,,,,,
0.87109375,1,349,,,,,,
,1,375,0.2559809684753418,0.9263333082199097,,,,
,1,375,,,0.3928980231285095,0.8863750100135803,,
0.8984375,2,399,,,,,,
0.86328125,2,449,,,,,,
0.8828125,2,499,,,,,,
0.90625,2,549,,,,,,
,2,563,0.21107400953769684,0.940500020980835,,,,
,2,563,,,0.33532243967056274,0.9018541574478149,,
0.8984375,3,599,,,,,,
0.90234375,3,649,,,,,,
0.921875,3,699,,,,,,
0.92578125,3,749,,,,,,
,3,751,0.1794838011264801,0.9479166865348816,,,,
,3,751,,,0.30277884006500244,0.9134583473205566,,
0.91796875,4,799,,,,,,
0.94140625,4,849,,,,,,
0.92578125,4,899,,,,,,
,4,939,0.1957484781742096,0.9445833563804626,,,,
,4,939,,,0.28313276171684265,0.9183958172798157,,
0.9296875,5,949,,,,,,
0.92578125,5,999,,,,,,
0.9140625,5,1049,,,,,,
0.90625,5,1099,,,,,,
,5,1127,0.16850382089614868,0.9521666765213013,,,,
,5,1127,,,0.2660357654094696,0.9248124957084656,,
0.9296875,6,1149,,,,,,
0.90625,6,1199,,,,,,
0.94140625,6,1249,,,,,,
0.95703125,6,1299,,,,,,
,6,1315,0.1760072261095047,0.9505833387374878,,,,
,6,1315,,,0.25878727436065674,0.9275624752044678,,
0.91015625,7,1349,,,,,,
0.9375,7,1399,,,,,,
0.9453125,7,1449,,,,,,
0.92578125,7,1499,,,,,,
,7,1503,0.17945989966392517,0.9494166374206543,,,,
,7,1503,,,0.24897737801074982,0.9294999837875366,,
0.91796875,8,1549,,,,,,
0.9453125,8,1599,,,,,,
0.9375,8,1649,,,,,,
,8,1691,0.15812531113624573,0.9582499861717224,,,,
,8,1691,,,0.2375427782535553,0.9341458082199097,,
0.93359375,9,1699,,,,,,
0.95703125,9,1749,,,,,,
0.94140625,9,1799,,,,,,
0.9375,9,1849,,,,,,
,9,1879,0.1609041392803192,0.9584166407585144,,,,
,9,1879,,,0.23818501830101013,0.9348124861717224,,
0.9296875,10,1899,,,,,,
0.9453125,10,1949,,,,,,
0.9296875,10,1999,,,,,,
0.94140625,10,2049,,,,,,
,10,2067,0.1569398045539856,0.9581666588783264,,,,
,10,2067,,,0.23043105006217957,0.9357500076293945,,
0.921875,11,2099,,,,,,
0.9375,11,2149,,,,,,
0.9375,11,2199,,,,,,
0.9140625,11,2249,,,,,,
,11,2255,0.1752261519432068,0.9476666450500488,,,,
,11,2255,,,0.22686582803726196,0.9390624761581421,,
0.96484375,12,2299,,,,,,
0.9453125,12,2349,,,,,,
0.94140625,12,2399,,,,,,
,12,2443,0.151712104678154,0.9567499756813049,,,,
,12,2443,,,0.22166338562965393,0.9399999976158142,,
0.91796875,13,2449,,,,,,
0.93359375,13,2499,,,,,,
0.9609375,13,2549,,,,,,
0.953125,13,2599,,,,,,
,13,2631,0.1390792727470398,0.9626666903495789,,,,
,13,2631,,,0.21353985369205475,0.9417916536331177,,
0.9296875,14,2649,,,,,,
0.95703125,14,2699,,,,,,
0.93359375,14,2749,,,,,,
0.953125,14,2799,,,,,,
,14,2819,0.15243390202522278,0.9589999914169312,,,,
,14,2819,,,0.21568405628204346,0.9410416483879089,,
0.9375,15,2849,,,,,,
0.91796875,15,2899,,,,,,
0.91015625,15,2949,,,,,,
0.94921875,15,2999,,,,,,
,15,3007,0.15002606809139252,0.9591666460037231,,,,
,15,3007,,,0.21251384913921356,0.9421666860580444,,
0.95703125,16,3049,,,,,,
0.96484375,16,3099,,,,,,
0.94921875,16,3149,,,,,,
,16,3195,0.14855539798736572,0.9595000147819519,,,,
