train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.96875,0,4,,,,,,
0.9375,0,9,,,,,,
0.9375,0,14,,,,,,
0.90625,0,19,,,,,,
0.9375,0,24,,,,,,
0.9375,0,29,,,,,,
0.9375,0,34,,,,,,
1.0,0,39,,,,,,
1.0,0,44,,,,,,
0.9375,0,49,,,,,,
0.90625,0,54,,,,,,
0.9375,0,59,,,,,,
0.96875,0,64,,,,,,
0.9375,0,69,,,,,,
0.96875,0,74,,,,,,
0.96875,0,79,,,,,,
1.0,0,84,,,,,,
0.96875,0,89,,,,,,
0.90625,0,94,,,,,,
1.0,0,99,,,,,,
1.0,0,104,,,,,,
0.96875,0,109,,,,,,
1.0,0,114,,,,,,
0.90625,0,119,,,,,,
0.9375,0,124,,,,,,
0.9375,0,129,,,,,,
0.96875,0,134,,,,,,
0.90625,0,139,,,,,,
1.0,0,144,,,,,,
0.96875,0,149,,,,,,
0.9375,0,154,,,,,,
1.0,0,159,,,,,,
0.96875,0,164,,,,,,
0.96875,0,169,,,,,,
0.96875,0,174,,,,,,
0.96875,0,179,,,,,,
0.96875,0,184,,,,,,
0.96875,0,189,,,,,,
0.96875,0,194,,,,,,
0.96875,0,199,,,,,,
1.0,0,204,,,,,,
1.0,0,209,,,,,,
0.96875,0,214,,,,,,
0.96875,0,219,,,,,,
1.0,0,224,,,,,,
0.9375,0,229,,,,,,
0.90625,0,234,,,,,,
0.96875,0,239,,,,,,
0.96875,0,244,,,,,,
0.96875,0,249,,,,,,
,0,249,0.152510866522789,0.972000002861023,,,,
,0,249,,,0.13719497621059418,0.9651250243186951,,
0.96875,1,254,,,,,,
0.96875,1,259,,,,,,
1.0,1,264,,,,,,
1.0,1,269,,,,,,
1.0,1,274,,,,,,
0.84375,1,279,,,,,,
0.96875,1,284,,,,,,
1.0,1,289,,,,,,
0.96875,1,294,,,,,,
0.90625,1,299,,,,,,
0.96875,1,304,,,,,,
0.9375,1,309,,,,,,
0.9375,1,314,,,,,,
1.0,1,319,,,,,,
0.96875,1,324,,,,,,
0.96875,1,329,,,,,,
0.96875,1,334,,,,,,
0.96875,1,339,,,,,,
0.9375,1,344,,,,,,
0.96875,1,349,,,,,,
0.9375,1,354,,,,,,
0.96875,1,359,,,,,,
0.9375,1,364,,,,,,
0.9375,1,369,,,,,,
1.0,1,374,,,,,,
0.96875,1,379,,,,,,
0.96875,1,384,,,,,,
1.0,1,389,,,,,,
1.0,1,394,,,,,,
0.9375,1,399,,,,,,
1.0,1,404,,,,,,
1.0,1,409,,,,,,
0.875,1,414,,,,,,
1.0,1,419,,,,,,
0.875,1,424,,,,,,
1.0,1,429,,,,,,
1.0,1,434,,,,,,
1.0,1,439,,,,,,
0.96875,1,444,,,,,,
