train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
455.7182312011719,0,4,,,,,,
,0,6,474101.5,510.7177429199219,,,,
,0,6,,,465986.6875,521.7780151367188,,
453.7516174316406,1,9,,,,,,
,1,13,396873.34375,454.43011474609375,,,,
,1,13,,,401918.1875,474.3174133300781,,
473.07354736328125,2,14,,,,,,
333.7801818847656,2,19,,,,,,
,2,20,330157.28125,412.38336181640625,,,,
,2,20,,,321484.03125,412.4000244140625,,
424.5827331542969,3,24,,,,,,
,3,27,270044.40625,375.2950744628906,,,,
,3,27,,,262067.265625,367.0345764160156,,
271.2237854003906,4,29,,,,,,
245.2292022705078,4,34,,,,,,
,4,34,231392.984375,353.9721984863281,,,,
,4,34,,,217924.125,333.2500915527344,,
286.82470703125,5,39,,,,,,
,5,41,206709.5,338.6617126464844,,,,
,5,41,,,185158.5,301.65631103515625,,
221.267822265625,6,44,,,,,,
,6,48,198033.125,333.8677673339844,,,,
,6,48,,,174023.25,302.23052978515625,,
310.46160888671875,7,49,,,,,,
228.55148315429688,7,54,,,,,,
,7,55,183082.921875,324.5506286621094,,,,
,7,55,,,164734.640625,295.5537414550781,,
278.888916015625,8,59,,,,,,
,8,62,173702.953125,317.4849548339844,,,,
,8,62,,,142448.734375,280.4916687011719,,
205.85614013671875,9,64,,,,,,
271.8078918457031,9,69,,,,,,
,9,69,165531.90625,312.6484375,,,,
,9,69,,,146141.5,280.85369873046875,,
235.35801696777344,10,74,,,,,,
,10,76,158863.515625,307.97882080078125,,,,
,10,76,,,146857.0625,275.4688720703125,,
322.68927001953125,11,79,,,,,,
,11,83,151104.015625,303.1526184082031,,,,
,11,83,,,142014.125,272.5674743652344,,
224.6542510986328,12,84,,,,,,
306.4222412109375,12,89,,,,,,
,12,90,152801.484375,305.7492370605469,,,,
,12,90,,,138568.828125,271.21771240234375,,
254.5720672607422,13,94,,,,,,
,13,97,146975.5625,300.6309509277344,,,,
,13,97,,,138546.453125,277.725341796875,,
282.28363037109375,14,99,,,,,,
293.6004333496094,14,104,,,,,,
,14,104,146110.859375,300.62921142578125,,,,
,14,104,,,131594.15625,265.1398620605469,,
225.74806213378906,15,109,,,,,,
,15,111,142406.453125,298.97430419921875,,,,
,15,111,,,125919.8671875,264.3824157714844,,
269.4742431640625,16,114,,,,,,
,16,118,141405.171875,298.21441650390625,,,,
,16,118,,,132320.0625,274.0877990722656,,
259.3531188964844,17,119,,,,,,
291.4893798828125,17,124,,,,,,
,17,125,139642.8125,296.7010192871094,,,,
,17,125,,,129122.609375,268.8193664550781,,
299.60064697265625,18,129,,,,,,
,18,132,137905.078125,294.88232421875,,,,
,18,132,,,133404.375,268.75408935546875,,
268.0105895996094,19,134,,,,,,
448.28936767578125,19,139,,,,,,
,19,139,135826.109375,291.9232482910156,,,,
,19,139,,,131928.90625,271.4217529296875,,
283.5232238769531,20,144,,,,,,
,20,146,134845.5,290.6517639160156,,,,
,20,146,,,124726.6328125,261.859619140625,,
278.8289489746094,21,149,,,,,,
,21,153,134584.8125,290.80364990234375,,,,
,21,153,,,126585.9609375,263.0055847167969,,
188.4688720703125,22,154,,,,,,
259.7139587402344,22,159,,,,,,
,22,160,134476.90625,290.1369323730469,,,,
,22,160,,,119713.3203125,263.2561340332031,,
249.5433349609375,23,164,,,,,,
,23,167,131821.125,287.00909423828125,,,,
,23,167,,,107361.5703125,244.4427947998047,,
300.17559814453125,24,169,,,,,,
231.31973266601562,24,174,,,,,,
,24,174,132302.203125,286.7896423339844,,,,
,24,174,,,139295.734375,273.4579772949219,,
331.0265808105469,25,179,,,,,,
,25,181,132042.921875,286.72259521484375,,,,
,25,181,,,125998.8046875,266.0238952636719,,
266.7469177246094,26,184,,,,,,
,26,188,132621.21875,287.36810302734375,,,,
,26,188,,,122730.71875,255.4231414794922,,
226.00616455078125,27,189,,,,,,
230.12290954589844,27,194,,,,,,
,27,195,131562.5625,285.7452087402344,,,,
,27,195,,,108161.6953125,245.05686950683594,,
275.8922119140625,28,199,,,,,,
,28,202,131644.609375,286.0979919433594,,,,
,28,202,,,116655.484375,255.17259216308594,,
318.02978515625,29,204,,,,,,
197.75076293945312,29,209,,,,,,
,29,209,129995.6484375,283.8329772949219,,,,
,29,209,,,114889.8359375,258.6986389160156,,
255.8639678955078,30,214,,,,,,
,30,216,132591.515625,286.85205078125,,,,
,30,216,,,122212.703125,255.6367950439453,,
220.43258666992188,31,219,,,,,,
,31,223,131519.15625,285.226318359375,,,,
,31,223,,,119138.5703125,255.0229034423828,,
256.6290283203125,32,224,,,,,,
312.135498046875,32,229,,,,,,
,32,230,129783.1796875,283.5398864746094,,,,
,32,230,,,113609.21875,248.2088623046875,,
209.7820587158203,33,234,,,,,,
,33,237,129062.6328125,283.8200378417969,,,,
,33,237,,,116895.875,246.64849853515625,,
268.98663330078125,34,239,,,,,,
162.560791015625,34,244,,,,,,
,34,244,128168.1484375,282.2969970703125,,,,
,34,244,,,112559.7734375,254.52415466308594,,
235.6929168701172,35,249,,,,,,
,35,251,128933.46875,282.89349365234375,,,,
,35,251,,,116118.3671875,252.46702575683594,,
274.3618469238281,36,254,,,,,,
,36,258,128470.6953125,281.602294921875,,,,
,36,258,,,121126.4296875,255.75146484375,,
264.3924865722656,37,259,,,,,,
280.8916931152344,37,264,,,,,,
,37,265,128430.3359375,280.82781982421875,,,,
,37,265,,,129785.5,260.4790954589844,,
253.44473266601562,38,269,,,,,,
,38,272,127238.7578125,279.72039794921875,,,,
,38,272,,,107880.71875,244.4750518798828,,
205.89019775390625,39,274,,,,,,
324.0685119628906,39,279,,,,,,
,39,279,126593.609375,278.2163391113281,,,,
,39,279,,,119046.0625,250.87680053710938,,
258.41351318359375,40,284,,,,,,
,40,286,130637.515625,283.1567077636719,,,,
,40,286,,,119159.546875,250.9359893798828,,
247.2518768310547,41,289,,,,,,
,41,293,133949.625,287.19244384765625,,,,
,41,293,,,111726.4453125,245.68154907226562,,
237.54400634765625,42,294,,,,,,
273.873291015625,42,299,,,,,,
,42,300,133035.1875,285.3758544921875,,,,
,42,300,,,117624.75,250.1104278564453,,
255.99911499023438,43,304,,,,,,
,43,307,131240.625,283.2525939941406,,,,
,43,307,,,115365.109375,243.98204040527344,,
276.55938720703125,44,309,,,,,,
